prolific_id,time_taken,total_approvals,ethnicity,highest_education,age,sex,ethnicity_simplified,country_of_birth,country_of_residence,nationality,language,student_status,employment_status,stem_quiz_1_answers,stem_quiz_1_score,section_1_num_tab_switches,section_1_time_hidden,info_structure,player_performance,overplacement,overestimation,passing_threshold,ball_origin_estimation,preferred_second_survey,section_5_num_tab_switches,section_5_time_hidden,ball_color,schools_private_independent,schools_private_religious,schools_public_school,schools_homeschool,schools_online_school,schools_charter_school,schools_all_girls_school,schools_all_boys_school,schools_stem_oriented_school,track_decision,experience,preferred_second_survey_explanation,stem_quiz_1_1,quiz_2_1,stem_quiz_1_2,quiz_2_2,stem_quiz_1_3,quiz_2_3,stem_quiz_1_4,quiz_2_4,stem_quiz_1_5,quiz_2_5,stem_quiz_1_6,quiz_2_6,stem_quiz_1_7,quiz_2_7,stem_quiz_1_8,quiz_2_8,stem_quiz_1_9,quiz_2_9,stem_quiz_1_10,quiz_2_10,risk_tolerance_1,risk_tolerance_2,risk_tolerance_3,risk_tolerance_4,risk_tolerance_5,risk_tolerance_6,risk_tolerance_7,risk_tolerance_8,risk_tolerance_9,risk_tolerance_10,risk_tolerance_11,continue_or_quit
5d47292b4bfe1600016925ac,766.0,1293,White,Undergraduate degree (BA/BSc/other),31,Male,White,United States,United States,United States,English,No,Full-Time,DAACBBACCB,0.6,0.0,0.0,negative,Pass,60.0,4.0,5.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,"I did more non-stem course in college, so I feel a little more confident in them.",It was a fun study ,Non-STEM Track,D,D,A,B,A,A,C,C,B,B,B,D,A,A,C,B,C,C,B,D,R,R,R,R,R,C,C,C,C,C,C,0
61267e282a445af9eb95beae,887.0,1626,White,High school diploma/A-levels,37,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",ABDBADBCAA,0.3,0.0,0.0,ground,Pass,50.0,1.0,1.0,Pass Box,STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,"Because I figured I could at least get one question right, where the non-STEM one I would lose out.",It was hard to remember some of the equations for most of the questions since I haven't done these since I was in school.,STEM Track,A,C,B,D,D,A,B,A,A,D,D,A,B,C,C,C,A,B,A,D,R,R,R,C,C,C,C,C,C,C,C,1
6549876fa2301d20c2c9f79c,894.0,383,White,High school diploma/A-levels,52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",DACCDBACCB,0.6,0.0,0.0,ground,Pass,50.0,6.0,5.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,"Because I would need scratch paper and a pencil to work out some of the problems, and I didn't know whether that was allowed, and I kind of didn't feel like doing it. I am well-read, so I figured I would probably do better on the non-STEM questions, and I was much more confident on those and found them to be a *lot* easier. I am a word-nerd and writer and once worked as an editor, and my questions on the second part were all vocabulary questions.","I think a lot of the questions are just too complex. I didn't have the mental wherewithal to do precise calculations on the bonus calculation stuff, so I just approximated. Of course I do want a bonus, but I also am a person who doesn't like risk, so I tend to just ""take what I can get"" as it were, even if it's not 100% the optimal chance for a bonus. The amounts here are relatively small, but I suppose if it were a huge bonus, I would put in more effort to try to maximize my chances. I did the best answers that I could think of, but I didn't try to calculate precisely in my head (the bonus stuff, I mean).",Non-STEM Track,D,D,A,B,C,A,C,C,D,B,B,D,A,A,C,B,C,C,B,D,R,R,R,C,C,C,C,C,C,C,C,0
5d3700db048a4f001767b040,460.0,778,White,Undergraduate degree (BA/BSc/other),26,Female,White,United States,United States,United States,English,Yes,Full-Time,DDCCBABBAA,0.2,0.0,0.0,negative,Pass,10.0,3.0,2.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,I am a writer,"I loved this test, though I found the STEM questions difficult.",Non-STEM Track,D,D,D,B,C,A,C,C,B,B,A,D,B,A,B,B,A,C,A,D,R,R,R,R,C,C,C,C,C,C,C,0
6607112e33d4fd1fb766d2e2,1182.0,213,Black/African American,Undergraduate degree (BA/BSc/other),24,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time,CACBABDCAD,0.6,0.0,0.0,positive,Pass,70.0,7.0,6.0,Pass Box,Non-STEM Track,0.0,0.0,black,0,0,1,0,0,0,0,0,0,To skipped the quizzes,,Non-STEM Track,C,A,A,B,C,A,B,D,A,B,B,D,D,A,C,A,A,C,D,B,R,R,R,R,R,C,C,C,C,C,C,0
652396e2b5323ae8517c4ec9,424.0,230,White,Technical/community college,27,Female,Other,Canada,United States,United States,English,Yes,DATA_EXPIRED,DACCDBCDCC,0.4,0.0,0.0,negative,Pass,15.0,2.0,2.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,1,0,0,0,0,I'm not good at STEM,It was good,Non-STEM Track,D,D,A,B,C,A,C,C,D,B,B,D,C,A,D,B,C,C,C,D,R,R,R,R,C,C,C,C,C,C,C,0
66ce2f9a9a9402052c85abb6,1429.0,75,Other (please feel free to let us know your ethnicity via email),Graduate degree (MA/MSc/MPhil/other),50,Male,Other,Poland,United States,United States,Polish,No,Full-Time,AACBBBDC__,0.8,0.0,0.0,positive,Pass,80.0,8.0,8.0,Pass Box,STEM Track,0.0,0.0,red,0,1,1,0,0,0,0,0,0,Because it was a fun challenge,,STEM Track,A,B,A,A,C,C,B,A,B,A,B,D,D,C,C,A,,,,,R,R,R,R,R,R,C,C,C,C,C,1
60cab9dd5a974695b32eb2ab,800.0,921,White Sephardic Jew,Graduate degree (MA/MSc/MPhil/other),28,Female,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED,BAACCCDCBA,0.3,0.0,0.0,ground,Fail,80.0,2.0,6.0,Fail Box,Non-STEM Track,0.0,0.0,black,0,0,1,0,0,0,0,0,0,"I am horrible at math. Not to mention, I don't use equations in everyday life. ",It was fun! Kept me on my toes. ,Non-STEM Track,B,D,A,B,A,A,C,C,C,B,C,D,D,A,C,B,B,C,A,D,R,R,R,C,C,C,C,C,C,C,C,0
66f3beed5ca742d8eaeca673,600.0,7,White,Undergraduate degree (BA/BSc/other),24,Male,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",DABACACCBA,0.2,0.0,0.0,negative,Fail,30.0,4.0,4.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,More confidence in those abilities ,it was stressful ,Non-STEM Track,D,D,A,B,B,A,A,C,C,B,A,D,C,A,C,B,B,C,A,D,R,R,R,C,C,C,C,C,C,C,C,0
66043185681ea0b36d451b01,617.0,337,Black/African American,Undergraduate degree (BA/BSc/other),35,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,BCACBCBDBC,0.1,0.0,0.0,positive,Fail,0.0,0.0,10.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,The math questions were outside of my area of expertise ,"The math questions were difficult.  Otherwise, thank you for the opportunity to participate and much success in your future endeavors. ",Non-STEM Track,B,D,C,B,A,A,C,C,B,B,C,D,B,A,D,B,B,C,C,D,R,R,R,R,R,R,C,C,C,C,C,0
5d1bd1bd998087001c623a73,981.0,738,White,Undergraduate degree (BA/BSc/other),33,Male,White,United States,United States,United States,English,No,Full-Time,ABACBBAACA,0.4,0.0,0.0,positive,Fail,50.0,3.0,5.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,0,1,0,0,0,0,0,Faster,No,Non-STEM Track,A,D,B,B,A,A,C,C,B,B,B,D,A,A,A,B,C,C,A,D,R,R,R,R,R,C,C,C,C,C,C,0
66e916a67081975f3b28341b,431.0,8,East Asian,Undergraduate degree (BA/BSc/other),24,Female,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking),BDADCCBDBC,0.0,0.0,0.0,ground,Fail,30.0,2.0,3.0,Fail Box,Non-STEM Track,0.0,0.0,black,0,0,0,1,0,0,0,0,0,I haven't taken math in a long time,it was fine,Non-STEM Track,B,D,D,B,A,A,D,C,C,B,C,D,B,A,D,B,B,C,C,D,R,R,R,R,R,C,C,C,C,C,C,0
5dd0d2f02b033b190687eaee,890.0,1348,Other (please feel free to let us know your ethnicity via email),Undergraduate degree (BA/BSc/other),70,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",DADCDBDBB_,0.3,0.0,0.0,positive,Fail,50.0,4.0,5.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,I'm almost 50 years out of college and I'm rusty on math theory and processes. I could've done these questions easily about 40 years ago.,"challenging on the math stuff, very easy on the non-STEM stuff.",Non-STEM Track,D,D,A,B,D,A,C,C,D,B,B,D,D,A,B,B,B,C,,D,R,R,R,R,C,C,C,C,C,C,C,0
61412d50c1d83f94e448c0f3,906.0,2048,Black/African American,Graduate degree (MA/MSc/MPhil/other),23,Male,Black,United States,United States,United States,English,No,Part-Time,DDCBAADCBC,0.4,0.0,0.0,negative,Fail,100.0,8.0,8.0,Not Sure,Non-STEM Track,0.0,0.0,red,0,0,1,0,1,0,0,0,0,It was much easier and faster to answer.,It was great,Non-STEM Track,D,D,D,B,C,A,B,C,A,B,A,D,D,A,C,B,B,C,C,D,R,R,R,R,R,R,R,C,C,C,C,0
654d71ed0f6cf09a1436d4fd,610.0,375,Mixed,Graduate degree (MA/MSc/MPhil/other),45,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),DCACCBCBCB,0.3,0.0,0.0,positive,Pass,50.0,1.0,1.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,"Because I don’t use any advanced math in my daily life, and I don’t remember how to do that type of math. ","The math questions were too difficult from the outset, which made the process of navigating the questions frustrating. Paired with the timer, I just chose things at random. ",Non-STEM Track,D,D,C,B,A,A,C,C,C,B,B,D,C,A,B,B,C,C,B,D,R,R,R,R,R,R,C,C,C,C,C,0
6669d8d5d67867239ed2e85c,489.0,364,White,Technical/community college,48,Female,White,United States,United States,United States,English,No,Full-Time,BDCAACDABD,0.2,0.0,0.0,positive,Pass,0.0,1.0,1.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,It really wasn't popular when I went to school so it wasn't talked about.,It was great minus the math.,Non-STEM Track,B,D,D,B,C,A,A,C,A,B,C,D,D,A,A,B,B,C,D,D,R,R,R,R,R,C,C,C,C,C,C,0
601b9e9372f5e856dc3edf8b,865.0,67,White,Undergraduate degree (BA/BSc/other),23,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),DABBA__CBC,0.3,0.0,0.0,ground,Pass,1.0,0.0,0.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,"I was never good at Stem subjects in school, I was always better at english class",My experience was a bit hectic as I was not prepared to start doing some math ,Non-STEM Track,D,D,A,B,B,A,B,C,A,B,,D,,A,C,B,B,C,C,D,R,R,R,R,C,C,C,C,C,C,C,0
6616965da366a89dbc8086fa,612.0,85,Latino/Hispanic,High school diploma/A-levels,36,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),ADABDDCDBC,0.2,0.0,0.0,positive,Fail,75.0,7.0,4.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,1,0,0,0,0,seemed to be the better route in terms of my time,make so much more of these I love being able to use my mind and relax with no pressure,Non-STEM Track,A,D,D,B,A,A,B,C,D,B,D,D,C,A,D,B,B,C,C,D,R,R,R,R,R,R,C,C,C,C,C,0
659485a70452c534a91718ee,620.0,160,Latino/Hispanic,High school diploma/A-levels,43,Female,Other,United States,United States,United States,English,No,Full-Time,CCDCBABCCB,0.4,0.0,0.0,negative,Pass,20.0,2.0,2.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,math is hard,warn people they have to do math,Non-STEM Track,C,D,C,B,D,A,C,C,B,B,A,D,B,A,C,B,C,C,B,D,R,R,R,R,R,R,R,C,C,C,C,0
614e07461fd23406f92023c7,731.0,832,White,Graduate degree (MA/MSc/MPhil/other),36,Female,White,United States,United States,United States,English,Yes,Full-Time,CABCBBDCBD,0.5,0.0,0.0,ground,Pass,50.0,5.0,5.0,Not Sure,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,I am egregiously bad at math and didn't want to potentially do more.,Good luck with your research,Non-STEM Track,C,D,A,B,B,A,C,C,B,B,B,D,D,A,C,B,B,C,D,D,R,R,R,R,R,C,C,C,C,C,C,0
665bb3facf3b60004a908818,539.0,573,White,Undergraduate degree (BA/BSc/other),32,Male,White,United States,United States,United States,English,Yes,Full-Time,BCDCCDAACC,0.1,0.0,0.0,negative,Fail,50.0,1.0,2.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,I am not good at math,the stem questions were hard,Non-STEM Track,B,D,C,B,D,A,C,C,C,B,D,D,A,A,A,B,C,C,C,D,R,R,R,C,C,C,C,C,C,C,C,0
66491b44f08238d03d4395f0,381.0,219,White,Technical/community college,35,Female,White,United States,United States,United States,English,No,Part-Time,BAACBBCADC,0.3,0.0,0.0,negative,Pass,20.0,2.0,2.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,Because that topic is difficult for me,It was hard and made me anxious ,Non-STEM Track,B,D,A,B,A,A,C,C,B,B,B,D,C,A,A,B,D,C,C,D,R,R,R,R,R,R,C,C,C,C,C,0
662a71616a36b54eb97191eb,1164.0,51,White,Doctorate degree (PhD/other),72,Female,White,United States,United States,United States,English,No,Part-Time,DA________,0.1,0.0,0.0,ground,Fail,30.0,5.0,2.0,Fail Box,Non-STEM Track,0.0,0.0,black,0,0,1,0,0,0,0,0,0,Because I assumed it would be quicker since the test is timed. ,I felt rushed on the timed tests,Non-STEM Track,D,D,A,B,,A,,C,,B,,D,,A,,B,,C,,D,R,R,R,R,C,C,C,C,C,C,C,0
65daf1e5e45ada925fab406d,570.0,89,South East Asian,Graduate degree (MA/MSc/MPhil/other),37,Female,Asian,United States,United States,United States,English,No,Full-Time,ADBACBABDB,0.3,0.0,0.0,ground,Pass,40.0,2.0,2.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,I have a humanities background,no,Non-STEM Track,A,D,D,B,B,A,A,C,C,B,B,D,A,A,B,B,D,C,B,D,R,C,C,C,C,C,C,C,C,C,C,0
610888fa9082bb5758d4f7d8,658.0,177,White,Technical/community college,22,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED,BACDBADBDB,0.5,0.0,0.0,negative,Fail,42.0,2.0,7.0,Fail Box,Non-STEM Track,0.0,0.0,black,0,0,1,0,0,0,0,0,0,I'm terrible at math.,I don't think I did well on the math questions ,Non-STEM Track,B,D,A,A,C,A,D,C,B,B,A,D,D,A,B,B,D,C,B,D,R,R,R,R,R,R,R,R,R,R,C,0
66513ed9e6ee0568b12ce18c,895.0,84,White,High school diploma/A-levels,35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",DCBACDDBAC,0.1,0.0,0.0,ground,Fail,100.0,10.0,10.0,Pass Box,Non-STEM Track,0.0,0.0,black,0,0,0,1,0,0,0,0,0,My brain was tired fro the first set of math questions. ,"no feedback, good experience. ",Non-STEM Track,D,D,C,B,B,A,A,C,C,B,D,D,D,A,B,B,A,C,C,D,R,R,R,R,R,C,C,C,C,C,C,0
66f3ecd883793141904a00b3,817.0,5,White,High school diploma/A-levels,21,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,CABBBCCCAB,0.5,1.0,4.623,positive,Pass,3.0,2.0,2.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,0,1,0,0,0,0,0,im not very good at math,it was good no feed back ,Non-STEM Track,C,D,A,A,B,A,B,C,B,B,C,D,C,A,C,B,A,C,B,D,R,R,R,R,R,C,C,C,C,C,C,0
65b114038111be8590d8e184,562.0,563,White,Undergraduate degree (BA/BSc/other),36,Female,White,United States,United States,United States,English,No,Full-Time,DACDABCACA,0.4,0.0,0.0,negative,Pass,10.0,1.0,3.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,"My background is in language. I have a degree in French linguistics and am a certified English teacher. I am not strong in math, so I was certain that I would do better on the non-STEM track.",The first section was stressful as I honestly did not know how to answer most of the math problems. ,Non-STEM Track,D,D,A,B,C,A,D,C,A,B,B,D,C,A,A,B,C,C,A,D,R,R,R,R,R,C,C,C,C,C,C,0
6664a1bc5d0140d6c3570178,1329.0,177,Black/African American,Undergraduate degree (BA/BSc/other),37,Female,Mixed,United States,United States,United States,English,Yes,Other,AADBDBCC__,0.5,0.0,0.0,positive,Fail,80.0,10.0,10.0,Pass Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,I decided this because i didn't know rather to continue or not. I didn't know if I would still receive money for the other assignment completed.,My experience was great. I enjoyed solve problems and being challenged. ,Non-STEM Track,A,D,A,B,D,A,B,C,D,B,B,D,C,A,C,B,,C,,D,R,R,C,C,C,C,C,C,R,R,C,0
66abd7d501b21036f9f9994a,750.0,13,White,Undergraduate degree (BA/BSc/other),54,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),DCBCDABBAB,0.1,0.0,0.0,negative,Fail,40.0,4.0,4.0,Fail Box,Non-STEM Track,0.0,0.0,black,0,0,1,0,0,0,0,0,0,I am not good with math at all.,"I found the STEM section stressful, but I enjoyed the non-STEM section.",Non-STEM Track,D,D,C,B,B,A,C,C,D,B,A,D,B,A,B,B,A,C,B,D,R,R,R,R,C,C,C,C,C,C,C,0
62c37638a93211ca8441aadb,938.0,207,Middle Eastern,Secondary education (e.g. GED/GCSE),21,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),BADBBBBBCB,0.6,0.0,0.0,positive,Pass,75.0,5.0,4.0,Pass Box,Non-STEM Track,0.0,0.0,black,0,0,1,0,0,0,0,0,0,im more of a social sciences guy,no feedback,Non-STEM Track,B,D,A,B,D,A,B,C,B,B,B,D,B,A,B,B,C,C,B,D,R,R,R,R,R,C,C,C,C,C,C,0
655f82f3b777e4c757101326,929.0,279,Black/African American,Undergraduate degree (BA/BSc/other),45,Female,Black,United States,United States,United States,English,Yes,Full-Time,DABCCBACCA,0.4,0.0,0.0,positive,Pass,38.0,0.0,4.0,Fail Box,Non-STEM Track,0.0,0.0,black,0,0,1,0,0,0,0,0,0,easier,,Non-STEM Track,D,D,A,B,B,A,C,C,C,B,B,D,A,A,C,B,C,C,A,D,R,R,C,R,C,C,C,C,C,C,C,0
668edc4e7f59ae2c7858032f,1135.0,272,Black/African American,Undergraduate degree (BA/BSc/other),32,Female,Black,United States,United States,United States,English,Yes,Part-Time,BDADBCABAC,0.1,0.0,0.0,ground,Fail,10.0,2.0,5.0,Fail Box,Non-STEM Track,0.0,0.0,black,0,0,1,0,0,0,0,0,0,I can't solve the math problems fast enough and I haven't learned those equations.,"It was a bit anxiety-inducing because I wasn't expecting the math questions. However, I loved the non-STEM, I'm good with words.",Non-STEM Track,B,D,D,B,A,A,D,C,B,B,C,D,A,A,B,B,A,C,C,D,R,R,R,C,C,C,C,C,C,C,C,0
5f330bfd7109cd0e649566b6,941.0,2421,White,Technical/community college,53,Female,White,United States,United States,United States,English,No,Other,BDBCBBBDAC,0.2,0.0,0.0,positive,Pass,23.0,1.0,1.0,Fail Box,Non-STEM Track,0.0,0.0,red,0,0,1,0,1,0,0,0,0,Because college math is ridiculously difficult.,I was only able to read through the first 6 math questions.  I just randomly selected answers to the rest.,Non-STEM Track,B,D,D,B,B,A,C,C,B,B,B,D,B,A,D,B,A,C,C,D,R,R,R,C,C,C,C,C,C,C,C,0
667d4322e59995857a56e1d3,386.0,344,Mixed,Undergraduate degree (BA/BSc/other),21,Female,Mixed,Ghana,United States,United States,English,No,Full-Time,CBDACDBCBB,0.2,0.0,0.0,ground,Fail,80.0,6.0,7.0,Pass Box,STEM Track,0.0,0.0,black,0,0,1,0,0,1,0,0,0,Very great,Brilliant submission,STEM Track,C,C,B,B,D,D,A,A,C,C,D,C,B,A,C,C,B,B,B,B,R,C,R,C,R,C,C,R,R,C,R,1
66370a20a4b5b1a460904760,1396.0,335,White,Technical/community college,28,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),BAADBB_CBA,0.4,0.0,0.0,negative,Pass,50.0,3.0,3.0,Pass Box,STEM Track,0.0,0.0,red,0,0,1,0,0,0,0,0,0,I thought i could get at least 3 correct. ,Somewhat time consuming and stressful,STEM Track,B,B,A,A,A,C,D,,B,C,B,C,,C,C,A,B,B,A,A,R,R,R,R,C,C,C,C,C,C,C,1
5f4859d23306481f0f0dd2a5,629.0,3071,Native American or Alaskan Native,Undergraduate degree (BA/BSc/other),39,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,DDDADCDCBA,0.2,0.0,0.0,ground,Fail,32.0,4.0,6.0,Fail Box,Non-STEM Track,0.0,0.0,black,1,1,0,0,0,0,0,0,0,Because I'm tired and I don't math well then,Interesting but a bit confusing,Non-STEM Track,D,D,D,B,D,A,A,C,D,B,C,D,D,A,C,B,B,C,A,D,R,R,R,R,R,R,R,C,C,C,C,0
